date,price,company,sector
2019-03-05,128.9,MSFT,technology
2019-02-05,126.21,MSFT,technology
2019-01-05,127.88,MSFT,technology
2019-04-30,130.6,MSFT,technology
2019-04-29,129.77,MSFT,technology
2019-04-26,129.89,MSFT,technology
2019-04-25,129.15,MSFT,technology
2019-04-24,125.01,MSFT,technology
2019-04-23,125.44,MSFT,technology
2019-04-22,123.76,MSFT,technology
2019-04-18,123.37,MSFT,technology
2019-04-17,121.77,MSFT,technology
2019-04-16,120.77,MSFT,technology
2019-04-15,121.05,MSFT,technology
2019-12-04,120.95,MSFT,technology
2019-11-04,120.33,MSFT,technology
2019-10-04,120.19,MSFT,technology
2019-09-04,119.28,MSFT,technology
2019-08-04,119.93,MSFT,technology
2019-05-04,119.89,MSFT,technology
2019-04-04,119.36,MSFT,technology
2019-03-04,119.97,MSFT,technology
2019-02-04,119.19,MSFT,technology
2019-01-04,119.02,MSFT,technology
2019-03-29,117.94,MSFT,technology
2019-03-28,116.93,MSFT,technology
2019-03-27,116.77,MSFT,technology
2019-03-26,117.91,MSFT,technology
2019-03-25,117.66,MSFT,technology
2019-03-22,117.05,MSFT,technology
2019-03-21,120.22,MSFT,technology
2019-03-20,117.52,MSFT,technology
2019-03-19,117.65,MSFT,technology
2019-03-18,117.57,MSFT,technology
2019-03-15,115.91,MSFT,technology
2019-03-14,114.59,MSFT,technology
2019-03-13,114.5,MSFT,technology
2019-12-03,113.62,MSFT,technology
2019-11-03,112.83,MSFT,technology
2019-08-03,110.51,MSFT,technology
2019-07-03,110.39,MSFT,technology
2019-06-03,111.75,MSFT,technology
2019-05-03,111.7,MSFT,technology
2019-04-03,112.26,MSFT,technology
2019-01-03,112.53,MSFT,technology
2019-02-28,112.03,MSFT,technology
2019-02-27,112.17,MSFT,technology
2019-02-26,112.36,MSFT,technology
2019-02-25,111.59,MSFT,technology
2019-02-22,110.97,MSFT,technology
2019-02-21,109.41,MSFT,technology
2019-02-20,107.15,MSFT,technology
2019-02-19,108.17,MSFT,technology
2019-02-15,108.22,MSFT,technology
2019-02-14,106.9,MSFT,technology
2019-02-13,106.81,MSFT,technology
2019-12-02,106.89,MSFT,technology
2019-11-02,105.25,MSFT,technology
2019-08-02,105.67,MSFT,technology
2019-07-02,105.27,MSFT,technology
2019-06-02,106.03,MSFT,technology
2019-05-02,107.22,MSFT,technology
2019-04-02,105.74,MSFT,technology
2019-01-02,102.78,MSFT,technology
2019-01-31,104.43,MSFT,technology
2019-01-30,106.38,MSFT,technology
2019-01-29,102.94,MSFT,technology
2019-01-28,105.08,MSFT,technology
2019-01-25,107.17,MSFT,technology
2019-01-24,106.2,MSFT,technology
2019-01-23,106.71,MSFT,technology
2019-01-22,105.68,MSFT,technology
2019-01-18,107.71,MSFT,technology
2019-01-17,106.12,MSFT,technology
2019-01-16,105.38,MSFT,technology
2019-01-15,105.01,MSFT,technology
2019-01-14,102.05,MSFT,technology
2019-11-01,102.8,MSFT,technology
2019-10-01,103.6,MSFT,technology
2019-09-01,104.27,MSFT,technology
2019-08-01,102.8,MSFT,technology
2019-07-01,102.06,MSFT,technology
2019-04-01,101.93,MSFT,technology
2019-03-01,97.4,MSFT,technology
2019-02-01,101.12,MSFT,technology
2018-12-31,101.57,MSFT,technology
2018-12-28,100.39,MSFT,technology
2018-12-27,101.18,MSFT,technology
2018-12-26,100.56,MSFT,technology
2018-12-24,94.13,MSFT,technology
2018-12-21,98.23,MSFT,technology
2018-12-20,101.51,MSFT,technology
2018-12-19,103.69,MSFT,technology
2018-12-18,103.97,MSFT,technology
2018-12-17,102.89,MSFT,technology
2018-12-14,106.03,MSFT,technology
2018-12-13,109.45,MSFT,technology
2018-12-12,109.08,MSFT,technology
2018-11-12,108.59,MSFT,technology
2018-10-12,107.59,MSFT,technology
2018-07-12,104.82,MSFT,technology
2018-06-12,109.19,MSFT,technology
2018-04-12,108.52,MSFT,technology
2018-03-12,112.09,MSFT,technology
2018-11-30,110.89,MSFT,technology
2018-11-29,110.19,MSFT,technology
2018-11-28,111.12,MSFT,technology
2018-11-27,107.14,MSFT,technology
2018-11-26,106.47,MSFT,technology
2018-11-23,103.07,MSFT,technology
2018-11-21,103.11,MSFT,technology
2018-11-20,101.71,MSFT,technology
2018-11-19,104.62,MSFT,technology
2018-11-16,108.29,MSFT,technology
2018-11-15,107.28,MSFT,technology
2018-11-14,104.97,MSFT,technology
2018-11-13,106.94,MSFT,technology
2018-12-11,106.87,MSFT,technology
2018-09-11,109.57,MSFT,technology
2018-08-11,111.75,MSFT,technology
2018-07-11,111.96,MSFT,technology
2018-06-11,107.72,MSFT,technology
2018-05-11,107.51,MSFT,technology
2018-02-11,106.16,MSFT,technology
2018-01-11,105.92,MSFT,technology
2018-10-31,106.81,MSFT,technology
2018-10-30,103.73,MSFT,technology
2018-10-29,103.85,MSFT,technology
2018-10-26,106.96,MSFT,technology
2018-10-25,108.3,MSFT,technology
2018-10-24,102.32,MSFT,technology
2018-10-23,108.1,MSFT,technology
2018-10-22,109.63,MSFT,technology
2018-10-19,108.66,MSFT,technology
2018-10-18,108.5,MSFT,technology
2018-10-17,110.71,MSFT,technology
2018-10-16,111.0,MSFT,technology
2018-10-15,107.6,MSFT,technology
2018-12-10,109.57,MSFT,technology
2018-11-10,105.91,MSFT,technology
2018-10-10,106.16,MSFT,technology
